#Letra FAbs Frel
A	116764	15.6432
B	13823	1.8519
C	41000	5.49288
D	31566	4.22898
E	73439	9.83882
F	8177	1.09549
G	12826	1.71833
H	7040	0.943167
I	61368	8.22163
J	4789	0.641595
L	35303	4.72964
M	23166	3.10361
N	48454	6.49151
O	68871	9.22683
P	17228	2.30808
Q	2796	0.374588
R	69478	9.30815
S	31201	4.18008
T	40050	5.3656
U	23461	3.14313
V	7516	1.00694
X	1165	0.156078
Y	1103	0.147772
Z	5797	0.776639
